user_name,user_statuses_count,user_followers_count,user_friends_count,user_verified,user_utc_offset,user_location,user_lang,user_time_zone,user_created_at_timestamp,user_protected,user_description,user_gender,user_country,user_state,user_city
0,10094,306,807,False,,,zh-CN,,1499106719.0,False,☀️☀️☀️,M,,,
1,17,4,77,False,,,zh-cn,,1365382816.0,False,,,,,
2,5201,780,511,False,,Kowloon City District,en,,1514810666.0,False,挺文貴最早之戰友！,,,,
3,15562,139,270,False,,5 3 L L,zh-CN,,1494650010.0,False,自由，民主，法制,,,,
4,1122,2219,37,False,,"Washington, DC",en,,1342581164.0,False,老牌美国之音，新版VOA卫视,,United States of America,District of Columbia,"Washington, D.C."
5,4555,140,1062,False,,,zh-CN,,1500938068.0,False,,,,,
6,219353,1227,2,False,,,zh-cn,,1418857504.0,False,以原文转推的形式 自动收集推特中文世界的 热门推文，搜集内容不代表本帐号观点。如遇不喜欢的账号请手动屏蔽，本机器账号不带任何观点色彩。谢谢围观,,,,
8,22463,45495,601,False,,山东人在北京,zh-cn,,1248563837.0,False,1998-1999参与中国民主党（CDP）筹组。2001-2005煽颠四年。现任国际笔会独立中文笔会（ICPC）理事兼秘书长。,,,,
9,93,5,87,False,,Hong Kong,en,,1501649202.0,False,"香港の大学生です、よろしくね | 日本語を学ぶ、まだボロボロです | アニメ、ゲーム、映画とが大好き | 英語と中国語わかる
Dankmemes thief, also your friendly counter-strike gamer",,Hong Kong S.A.R.,Kowloon City,Hong Kong
10,418640,14816,1922,False,,"Shanghai, China",en,,1233716182.0,False,"News Junkie; 地命海心; 理中客. China's diplomacy; History; Empires and Peoples; Ideology, Religion and Politics; Tech, Gadgets; Memes and viral stuff.",M,China,Shanghai,Shanghai
10,418640,14816,1922,False,,"Shanghai, China",en,,1233716182.0,False,"News Junkie; 地命海心; 理中客. China's diplomacy; History; Empires and Peoples; Ideology, Religion and Politics; Tech, Gadgets; Memes and viral stuff.",,China,Shanghai,Shanghai
12,73914,240,1539,False,,,zh-CN,,1509499259.0,False,,F,,,
13,15187,187,397,False,,"Kirkham, New South Wales",zh-tw,,1489172510.0,False,,,United Kingdom,,
14,920,112,72,False,,,zh-cn,,1365119281.0,False,支持民主，倡导普世价值观！,,,,
15,54009,129091,3321,False,,China Beijing，中国 北京,zh-cn,,1311396088.0,False,佛教徒Buddhist 。唯慈悲方勇猛。电邮： hujiafreedom@icloud.com 。Skype: freechina520 。言论自由是所有公民权利的起点，是打开中国民主化的钥匙。保护你的言论自由是我的公民责任，维护社会的言论自由，是我的公民使命。,,China,Beijing,
17,27156,426,466,False,,,en,,1265403460.0,False,自由，民主万岁！,M,,,
18,96,14,158,False,,Beijing-Kunming,zh-CN,,1243184268.0,False,,,China,,
19,135328,9798,3896,False,,,zh-cn,,1353282860.0,False,,,,,
20,27699,11288,1093,False,,"NanJing,China（中國南京）",zh-CN,,1256865973.0,False,#80後 #宅 #南京土著 #外貌協會編外人員 #法律人 #情懷區區長 #2012振興推特中文圈終身成就獎 #拖延症晚期,,China,Jiangsu,
21,9820,70,294,False,,,zh-CN,,1440315014.0,False,,,,,
22,55,2,54,False,,,zh-cn,,1401409828.0,False,,M,,,
23,3094,1729,2012,False,,,en,,1267431520.0,False,天国近了，我们应当悔改！,,,,
